beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,beschreibung_quelle
Sozialarbeiter/in,2635,28.0,70.0,Soziales,88000,Tertiär,http://data.europa.eu/esco/occupation/b73f4ce5-13fa-43a0-bbf6-01d7315849b8,Teamleiter im Bereich Sozialarbeit/Teamleiterin im Bereich Sozialarbeit,"Teamleiter im Bereich Sozialarbeit leiten die Untersuchung mutmaßlicher Fälle von Vernachlässigung oder Missbrauch unter dem Aspekt der Sozialarbeit. Sie beurteilen die Familiendynamik und helfen Menschen, die an Erkrankungen bzw. emotionalen oder psychischen Störungen leiden. Sie schulen, unterstützen und beurteilen ihnen unterstellte Sozialarbeiter und teilen diesen Aufgaben zu, um dafür zu sorgen, dass alle Arbeiten gemäß den festgelegten Strategien, Rechtsvorschriften, Verfahren und Prioritäten durchgeführt werden.",ESCO
Berufsberater und -analytiker und vergleichbare Spezialisten der Personalwesen,2423,27.6,75.4,Finanzen,115000,Tertiär,http://data.europa.eu/esco/occupation/5d0cc30d-068a-424c-8463-f42872a7149e,Berufsberater/Berufsberaterin,"Berufsberater bieten Erwachsenen und Schülern oder Studierenden Orientierung und Beratung in den Bereichen Bildung, Ausbildung und Berufswahl und unterstützen sie bei der Gestaltung ihrer beruflichen Laufbahn, indem sie ihnen Planungs- und Aufstiegsmöglichkeiten aufzeigen. Sie zeigen mögliche berufliche Entwicklungswege auf, unterstützen ihre Klienten bei der Ausbildungsplanung und helfen ihnen, über ihre Ziele, Interessen und Qualifikationen zu reflektieren. Berufsberater bieten Beratung zu verschiedenen Fragen der Laufbahnplanung und unterbreiten ggf. Vorschläge für lebenslanges Lernen oder Studienempfehlungen. Bisweilen unterstützen sie Klienten auch bei der Arbeitssuche.",ESCO
Reinigungspersonal und Hilfskräfte in Privathaushalten,9111,26.8,96.7,Dienstleistungen,46000,Keine Ausbildung,http://data.europa.eu/esco/occupation/cbad55a4-c7cf-4ab6-9540-eac72b26729b,Reinigungskraft in Privathaushalt,"Reinigungskräfte in Privathaushalten führen alle erforderlichen Reinigungsarbeiten durch, um die Häuser ihrer Kunden zu reinigen. Sie saugen und wischen Fußböden, spülen Geschirr, waschen Kleidung, übernehmen das Abstauben, Schrubben und Polieren von Oberflächen und das Desinfizieren von Geräten und Materialien.",ESCO
Landmaschinen- und Industriemaschinenmechaniker und -schlosser,7233,26.6,2.9,Industrie,78000,Sekundär II,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,Servicetechniker für Landmaschinen/Servicetechnikerin für Landmaschinen,"Servicetechniker für Landmaschinen warten, überholen und reparieren landwirtschaftliche Geräte und Maschinen.",ESCO
Kassierer/in,5223,25.0,75.0,Detailhandel,48000,Sekundär II,http://data.europa.eu/esco/occupation/c76dda38-938c-404e-8a6d-78c8705eebc0,Kassenaufsichtskraft,Kassenaufsichtskräfte beaufsichtigen Kassierer in Kaufhäusern und anderen großen Geschäften.,ESCO
Lagerist/in,4321,25.0,22.0,Transport,58000,Sekundär II,http://data.europa.eu/esco/occupation/d7a9f9e0-e2f5-4804-a0e0-b21ebb1403ee,Warenlagerverwalter/Warenlagerverwalterin,"Warenlagerverwalter verzeichnen den Bestand an Waren, die vor der Auslieferung an Geschäfte, Großhändler und Einzelkunden in Lagerhäusern aufbewahrt werden. Sie überprüfen das Inventar und erstellen dazu Unterlagen und Dokumente.",ESCO
Arztpraxisassistent/in,3256,25.0,95.0,Gesundheit,60000,Sekundär II,http://data.europa.eu/esco/occupation/0c041d1e-1841-4acb-b0a1-2c387a61bf65,Medizinischer Fachangestellter/Medizinische Fachangestellte,"Medizinische Fachangestellte unterstützen Ärzte bei medizinischen Maßnahmen. Sie übernehmen einfache Unterstützungstätigkeiten bei medizinischen Verfahren, standardisierten Diagnoseprogrammen und standardisierten patientennahen Tests. Sie sorgen für Hygiene bei chirurgischen Eingriffen sowie für die Reinigung, Desinfektion, Sterilisation und Wartung von medizinischen Geräten. Außerdem erfüllen sie die organisatorischen und administrativen Aufgaben, die für den Betrieb einer Arztpraxis erforderlich sind. Sie arbeiten unter Aufsicht und gemäß den Anweisungen des Arztes.",ESCO
Kinderbetreuerin/-betreuer,5311,25.0,93.0,Soziales,58000,Sekundär II,http://data.europa.eu/esco/occupation/3413f234-6230-47a8-8cc7-2691fd54ce3a,Kinderbetreuer/Kinderbetreuerin,"Kinderbetreuer übernehmen die Betreuung der Kinder, wenn die Eltern oder andere Familienmitglieder nicht verfügbar sind. Sie kümmern sich um die grundlegenden Bedürfnisse der Kinder und helfen ihnen bzw. beaufsichtigen sie beim Spielen. Kinderbetreuer können in Vorschulen, Kindertagesstätten, Kinderbetreuungseinrichtungen oder einzelnen Familien eingesetzt werden.",ESCO
Landwirt/in EFZ,6111,25.0,18.0,Landwirtschaft,52000,Sekundär II,http://data.europa.eu/esco/occupation/1c1e86f9-6347-42d6-aa6e-c95b138bf640,Landwirt/Landwirtin,Landwirte betreiben kleine Unternehmen oder sind Selbstversorger. Sie kümmern sich um alle Aspekte der Viehhaltung und des Pflanzenanbaus.,ESCO
Sachbearbeiter/in Buchhaltung,4311,25.0,65.0,Finanzen,75000,Sekundär II,http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b,Fakturist/Fakturistin,"Fakturisten erstellen Rechnungen und Kreditvermerke, stellen sie den Kunden auf allen erforderlichen Wegen zur Verfügung und aktualisieren die Kundenakten. Sie stellen Rechnungen an Kunden und aus und erstellen monatliche Debitorenauszüge, bringen Kundenakten auf den neuesten Stand, verarbeiten Kreditvermerke, erfassen und übermitteln Rechnungen usw.",ESCO
