beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,beschreibung_quelle
"Biologen, Botaniker, Zoologen und verwandte Berufe",2131,9.9,50.2,Industrie,115000,Tertiär,http://data.europa.eu/esco/occupation/55f001af-fa48-4c0c-a7e5-fc69babe3d45,Botaniker/Botanikerin,"Botaniker/Botanikerinnen pflegen eine Reihe von Pflanzen aus der ganzen Welt, oft in einem botanischen Garten. Sie führen wissenschaftliche Studien durch und reisen, um Pflanzen zu erforschen, die in freier Natur wachsen. Botaniker/Botanikerinnen sind für die Pflege und Entwicklung des botanischen Gartens verantwortlich.",ESCO
Barkeeper,5132,9.5,57.0,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140,Barkeeper/Barkeeperin,"Barkeeper servieren alkoholische oder alkoholfreie Getränke, die von Kunden an der Bar einer gastronomischen Einrichtung bestellt werden.",ESCO
Führungskräfte in Forschung und Entwicklung,1223,9.4,25.1,Verwaltung,120000,Tertiär,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,Forschungs- und Entwicklungsleiter/Forschungs- und Entwicklungsleiterin,"Forschungs- und Entwicklungsleiter/Forschungs- und Entwicklungsleiterinnen koordinieren die Produktenwicklungs- und -verbesserungstätigkeiten von Wissenschaftlern/Wissenschaftlerinnen, Hochschulforschern/-forscherinnen, Produktentwicklern/-entwicklerinnen und Marktforschern/-forscherinnen oder andere Forschungstätigkeiten, einschließlich der wissenschaftlichen Forschung. Sie verwalten und planen die Forschungs- und Entwicklungstätigkeiten einer Einrichtung, geben Ziele und Haushaltsmittel an und verwalten die Mitarbeiter.",ESCO
Prozess- und Produktionsingenieure,2141,9.3,20.0,Industrie,115000,Tertiär,http://data.europa.eu/esco/occupation/d7380260-1386-4e36-98b5-8115ca4a3536,Produktionsingenieur/Produktionsingenieurin,"Produktionsingenieure/Produktionsingenieurinnen überprüfen Leistung, führen Datenanalysen durch und identifizieren leistungsschwache Produktionssysteme. Sie suchen nach langen oder kurzfristigen Lösungen und planen Produktionsverbesserungen und Verfahrensoptimierungen.",ESCO
Musiklehrer,2354,9.1,52.6,Bildung,108000,Tertiär,http://data.europa.eu/esco/occupation/f235bc5a-dbf6-4f9e-bbdb-cf313d32b75b,Lehrkraft für Musik,"Lehrkräfte für Musik unterrichten Schülerinnen und Schüler in lockerer Atmosphäre in verschiedenen musikalischen Gattungen und Ausdrucksformen, z. B. klassische Musik, Jazz, Volksmusik, Blues, Rock, Elektro usw. Sie vermitteln den Schülerinnen und Schülern einen Überblick über Musikgeschichte und -repertoire, verfolgen jedoch in erster Linie einen praxisorientierten Kursansatz. Dabei unterstützen sie die Schülerinnen und Schüler bei der Erprobung verschiedener Stile und Techniken auf dem Musikinstrument ihrer Wahl und ermutigen sie, ihren eigenen Stil zu entwickeln. Sie planen, leiten und produzieren musikalische Darbietungen und koordinieren die technische Produktion.",ESCO
Sprachlehrer,2353,8.8,86.0,Bildung,108000,Tertiär,http://data.europa.eu/esco/occupation/59c724f9-0cfe-4d51-8a7f-9ee182d9e2c2,Lehrkraft für Gebärdensprache,"Lehrkräfte für Gebärdensprache bringen Schülerinnen und Schüler jedes Alters die Gebärdensprache bei. Sie unterrichten Schülerinnen und Schüler mit oder ohne sonderpädagogische Lernbedürfnisse wie Gehörlosigkeit. Bei der Unterrichtsgestaltung verwenden sie verschiedene Materialien, machen Gruppenarbeit und beurteilen die individuellen Leistungen anhand von Aufgaben und Prüfungen.",ESCO
Kassierer und Kartenverkäufer,5230,8.8,85.1,Detailhandel,56000,Sekundär II,http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098,Kassierer/Kassiererin,"Kassierer bedienen die Registrierkasse, nehmen Zahlungen von Kunden entgegen, stellen Kassenzettel aus und geben Wechselgeld heraus.",ESCO
Postverteiler und -sortierer,4412,8.7,43.4,Verwaltung,62000,Sekundär II,http://data.europa.eu/esco/occupation/511f366c-ba41-4826-9622-8cda6d6e3b91,Postabfertiger/Postabfertigerin,"Postabfertiger übernahmen das Sortieren, Erfassen und andere Aufgaben in Verbindung mit Postdiensten von Postämtern oder verwandten Organisationen. Sie führen Aufzeichnungen über die ein- und ausgehenden Versandstücke und Briefe.",ESCO
Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,3211,8.5,72.5,Gesundheit,68000,Sekundär II,http://data.europa.eu/esco/occupation/24a170fc-be68-43a5-93f1-7a5c31c6062b,Konstruktionsmitarbeiter in der Medizintechnik/Konstruktionsmitarbeiterin in der Medizintechnik,"Konstruktionsmitarbeiter in der Medizintechnik fertigen Instrumente, Maschinen und Geräte, die zur Vorbeugung, Diagnose oder Behandlung medizinischer Erkrankungen verwendet werden können. Medizinprodukte können sowohl nicht elektrisch betrieben werden, wie z. B. Rohre, Nadeln, Drainage-Sets und sterile Pipetten, als auch elektrisch, z. B. Herzschrittmacher, MRT-Geräte und Röntgengeräte. Einige arbeiten unter Umständen auch im Bereich der Herstellung von medizinischen Möbeln, wie Krankenhausbetten und Operationstischen.",ESCO
Chemo- und Physikotechniker,3111,8.4,56.1,Industrie,88000,Sekundär II,http://data.europa.eu/esco/occupation/a9bcc9e0-5be7-47a0-818b-acad10fe90d9,Physikotechniker/Physikotechnikerin,"Physikotechniker überwachen physikalische Prozesse und führen Tests für die Herstellung, für den Unterricht oder für wissenschaftliche Zwecke durch. Sie arbeiten in Labors, Schulen oder Produktionsstätten, in denen sie Physiker bei ihrer Arbeit unterstützen. Physikotechniker führen technische oder praktische Arbeiten aus und berichten über ihre Ergebnisse.",ESCO
"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen",4312,8.2,73.7,Verwaltung,65000,Sekundär II,http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,Statistiker/Statistikerin,"Statistiker/Statistikerin erheben, erfassen und analysieren vor allem quantitative Informationen aus einer Vielzahl von Bereichen. Sie analysieren statistische Studien zu Bereichen wie Gesundheit, Demografie, Finanzen, Wirtschaft und stützen sich dabei auf Muster und Analysen.",ESCO
"Metzger, Fischhändler und -verarbeiter und verwandte Berufe",7511,8.1,22.4,Landwirtschaft,54000,Sekundär II,http://data.europa.eu/esco/occupation/c0386702-0699-4550-920b-1f7027c9a3d9,Fischverarbeiter/Fischverarbeiterin,"Fischverarbeiter verarbeiten Fische und Schalentiere nach den geltenden Hygiene-, Lebensmittel- und Handelsvorschriften. Sie führen Tätigkeiten zur Fischverarbeitung durch und üben auch Einzelhandelstätigkeiten aus.",ESCO
Techniker für den Betrieb von Informations- und Kommunikationstechnologie,3511,8.0,21.8,ICT,85000,Sekundär II,http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,IKT-Techniker/IKT-Technikerin,"IKT-Techniker installieren, warten, reparieren und bedienen Informationssysteme und IKT-bezogene Geräte (Laptops, Desktops, Server, Tablets, Smartphones, Kommunikationsgeräte, Drucker und alle EDV-zugehörigen Peripherienetze) sowie Software jeder Art (Treiber, Betriebssysteme, Anwendungen).",ESCO
Netzwerkingenieur/in,2523,8.0,8.0,ICT,115000,Tertiär,http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d,IT-Netzwerkingenieur/IT-Netzwerkingenieurin,"IT-Netzwerkingenieure implementieren, warten und unterstützen Computernetzwerke. Außerdem modellieren, analysieren und planen sie diese Netzwerke. Bisweilen konzipieren sie auch Maßnahmen zur Netzwerk- und Computersicherheit. Unter Umständen recherchieren sie, welche Hardware und Software für ein Netzwerk geeignet ist, und geben entsprechende Empfehlungen ab.",ESCO
Telematiker/in EFZ,3522,8.0,5.0,ICT,80000,Sekundär II,,Telematiker/in EFZ,"Telematiker und Telematikerinnen EFZ installieren, konfigurieren und warten Telematik-Systeme, die Telekommunikation und Informatik verbinden. Sie arbeiten an Schnittstellen zwischen Netzwerktechnik, Datenübertragung und eingebetteten Systemen, beispielsweise in Fahrzeugen, Maschinen oder IoT-Anwendungen. Im Schweizer Dualsystem absolvieren sie eine dreijährige Lehre mit praxisorientiertem Unterricht in Betrieben und Berufsschulen, was sie befähigt, komplexe technische Probleme eigenständig zu lösen und kundenorientiert zu kommunizieren. Das Berufsfeld erfordert starke Fähigkeiten in Elektrotechnik, Informatik und Netzwerktechnik sowie die Fähigkeit, in einem mehrsprachigen und regulierten Umfeld – wie etwa bei der Einhaltung von Schweizer und europäischen Normen – zu arbeiten.",Haiku-generiert
Drogist/in,3256,8.0,75.0,Detailhandel,62000,Sekundär II,,Drogist/in,"Drogisten und Drogistinnen sind Fachpersonen im Einzelhandel mit Spezialisierung auf Drogen-, Kosmetik- und Körperpflegeprodukte sowie Haushaltchemikalien. Sie beraten Kundinnen und Kunden fachgerecht bei der Auswahl von Produkten, beachten dabei Anwendungshinweise und Sicherheitsaspekte und führen die Waren nach geltenden Schweizer Qualitäts- und Sicherheitsstandards. Ihre Tätigkeit umfasst neben dem Verkauf auch Lagerverwaltung, Warenauszeichnung, Warenpräsentation und einfache kaufmännische Aufgaben. Die dreijährige Ausbildung erfolgt im Schweizer Berufsbildungssystem mit praktischer Erfahrung im Betrieb und schulischem Unterricht an Berufsfachschulen, wobei Sprachkompetenzen je nach Region von Vorteil sind.",Haiku-generiert
Ökonom/in / Volkswirt/in,2631,8.0,40.0,Finanzen,120000,Tertiär,http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,Volkswirtschaftler/Volkswirtschaftlerin,"Volkswirtschaftler führen Forschungsarbeiten durch und entwickeln Wirtschaftstheorien für mikroökonomische oder makroökonomische Analysen. Sie untersuchen Trends, analysieren statistische Daten und verwenden in gewissem Umfang mathematische Wirtschaftsmodelle, um Unternehmen, Regierungen und damit verbundene Einrichtungen zu beraten. Sie bieten Beratung zu Themen wie Machbarkeit von Produkten, Trendprognosen, aufstrebenden Märkten, Steuerpolitik und Verbrauchertrends.",ESCO
Hochbauzeichner/in EFZ,3112,8.0,15.0,Bau,85000,Sekundär II,http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a,architectural drafter,Bauzeichner Architektur fertigen nach den Spezifikationen und Vorgaben von Architekten Zeichnungen an. Dabei verwenden sie computergestützte Instrumente und Software oder konventionelle Methoden wie Papier und Bleistift.,ESCO
IT-Sicherheitsspezialist/in,2529,8.0,14.0,ICT,135000,Tertiär,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,IT-Sicherheitsadministrator/IT-Sicherheitsadministratorin,"IT-Sicherheitsadministratoren planen und implementieren Sicherheitsmaßnahmen zum Schutz von Informationen und Daten vor unbefugtem Zugriff, vorsätzlichem Angriff, Diebstahl und Datenkorruption.",ESCO
UX/UI Designer/in,2166,8.0,38.0,ICT,110000,Tertiär,http://data.europa.eu/esco/occupation/11830794-108c-48fe-a282-2cd7a2945344,Designer von Glücks- und Wettspielen/Designerin von Glücks- und Wettspielen,"Designer von Glücks- und Wettspielen/Designerinnen von Glücks- und Wettspielen entwerfen innovative Glücks- und Wettspiele. Sie legen das Design, die Spielregeln oder die Struktur eines Spiels fest. Designer/Designerinnen von Glücks- und Wettspielen können das Spiel auch vorführen.",ESCO
Wirtschaftsprüfer/in,2411,8.0,35.0,Finanzen,130000,Tertiär,http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21,Finanzauditor/Finanzauditorin,"Finanzauditoren/Finanzauditorinnen erfassen und prüfen Finanzdaten für Kundinnen und Kunden, Organisationen oder Unternehmen. Sie stellen sicher, dass die finanziellen Aufzeichnungen korrekt geführt werden, dass die Finanzdaten frei von fehlerbedingten oder betrügerischen wesentlichen falschen Darstellungen sind, dass die Daten mathematisch korrekt sind und dass die Geschäfte wirksam und im Einklang mit den rechtlichen und aufsichtlichen Anforderungen geführt werden. Sie überprüfen Darlehensvergabe- und Kreditrichtlinien oder zahlenmäßige Posten in Datenbanken und Dokumenten und evaluieren, beraten und unterstützen bei Bedarf den Urheber des Vorgangs. Auf Grundlage ihrer Prüfung der Führung der Finanzgeschäfte (Governance) des Kunden geben sie ein Prüfungsurteil mit einem Sicherheitsgrad ab, um die Anteilinhaber, die Interessenträger und den Verwaltungsrat darüber zu informieren, ob alles in Ordnung ist.",ESCO
Journalist/in / Redakteur/in,2641,8.0,50.0,Medien,90000,Tertiär,http://data.europa.eu/esco/occupation/db3da11f-67a0-415f-b785-81f33d3be810,Wirtschaftsjournalist/Wirtschaftsjournalistin,"Wirtschaftsjournalisten recherchieren und verfassen Artikel über Wirtschaftsthemen und -ereignisse für Zeitungen, Zeitschriften, Fernsehen und andere Medien. Sie führen Interviews und nehmen an Veranstaltungen teil.",ESCO
Compliance Officer,2412,8.0,42.0,Finanzen,130000,Tertiär,http://data.europa.eu/esco/occupation/a950e88b-cb5e-4a7d-8a94-3f9460b487d7,Compliance-Ingenieur/Compliance-Ingenieurin,"Compliance-Ingenieure/Compliance-Ingenieurinnen sind bestrebt, die bestmögliche Vereinbarkeit von Systemen mit den technischen Spezifikationen aufrecht zu erhalten. Sie können die Compliance in einer Vielzahl von technischen Bereichen überwachen, einschließlich mechanischer, elektrischer und elektronischer Systeme. Sie stellen sicher, dass die Technik den Vorschriften, Sicherheitsmaßnahmen und internen Richtlinien entspricht.",ESCO
Spezialisten der traditionellen und komplementären Medizin,2230,7.9,80.7,Gesundheit,90000,Tertiär,http://data.europa.eu/esco/occupation/80a2aba7-ef7d-46ef-a8ec-15ff6131c0f1,Therapeut Traditionelle Chinesische Medizin/Therapeutin Traditionelle Chinesische Medizin,"Therapeuten Traditionelle Chinesische Medizin/Therapeutinnen Traditionelle Chinesische Medizin verwenden alternative Heilmethoden, um Erkrankungen aller Art zu heilen. Darüber hinaus verwenden sie verschiedene Therapien, z. B. Kräuterarzneien, Akupunktur, Massagen und Ernährungsprogramme, um die allgemeine Gesundheit der Patientin/des Patienten zu verbessern und eine Erkrankung zu verhindern.",ESCO
"Musiker, Sänger und Komponisten",2652,7.6,35.7,Medien,88000,Tertiär,http://data.europa.eu/esco/occupation/6581aa0d-c807-4091-84cc-bc041f962ab1,Sänger/Sängerin,"Sänger sind Berufsmusiker, die ihre Stimme in einer bestimmten Stimmlage als Musikinstrument verwenden. In verschiedenen Genres treten sie live vor Publikum auf oder spielen Aufnahmen in Studios ein.",ESCO
Führungskräfte in der Produktion im Bau,1323,7.6,4.4,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,Führungskraft in der Produktion von Waren,,ESCO
Trainer und Betreuer im Bereich Fitness und Erholung,3423,7.5,53.1,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,Fitnesstrainer/Fitnesstrainerin,"Fitnesstrainer steigern die Fitness neuer und bestehender Mitglieder durch Fitnessübungen, die ihren Bedürfnissen entsprechen. Sie unterweisen Einzelne oder Gruppen in Fitnesskursen, bei denen auch Geräte eingesetzt werden. Sowohl Einzel- als auch Gruppentrainer sollen für eine sichere und wirkungsvolle Ausführung der Übungen sorgen.  Je nach den Umständen sind zusätzliche Kenntnisse, Fähigkeiten und Kompetenzen erforderlich.",ESCO
Handelsmakler,3324,7.4,28.7,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/c01cdf85-3ce0-4d12-ae86-e4e63493fafa,Finanzmakler/Finanzmaklerin,"Finanzmakler sind im Auftrag ihrer Kunden am Finanzmarkt tätig. Sie überwachen Wertpapiere, Finanzunterlagen ihrer Kunden, Markttrends und -bedingungen sowie rechtliche Anforderungen. Sie planen An- und Verkaufstätigkeiten und berechnen die Transaktionskosten.",ESCO
Reisebegleiter und Stewards,5111,7.4,70.4,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/58ff0ec2-08ba-4b21-b765-babb6d76ca36,Steward/Stewardess,"Stewards/Stewardessen erbringen Dienstleistungen im Zusammenhang mit dem Servieren von Speisen und Getränken bei Reisen zu Land, zu Wasser oder in der Luft.",ESCO
Führungskräfte in Hotels,1411,7.4,38.9,Gastgewerbe,75000,Tertiär,http://data.europa.eu/esco/occupation/ebb4061a-906f-45fe-b4c0-a871c11f6fab,Sicherheitsbeauftragter des Beherbergungsbetriebs/Sicherheitsbeauftragte des Beherbergungsbetriebs,Sicherheitsbeauftragte des Beherbergungsbetriebs sind für die Steuerung und Umsetzung der gesamten Sicherheit in Beherbergungsbetrieben zuständig. Dies betrifft die Sicherheit sowohl von Habseligkeiten als auch von Personen und Gebäuden.,ESCO
Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln,8160,7.3,32.4,Industrie,64000,Sekundär II,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,Hydriermaschinenbediener/Hydriermaschinenbedienerin,Hydriermaschinenbediener steuern die Ausrüstung zur Verarbeitung von Basisölen zur Herstellung von Margarine und Backfett.,ESCO
Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe,4322,7.2,36.1,Verwaltung,65000,Sekundär II,http://data.europa.eu/esco/occupation/928dd410-c74b-4dab-94b8-fcbdcf541bd1,Zuschneider (Bekleidung)/Zuschneiderin (Bekleidung),"Zuschneider (Bekleidung) markieren, schneiden, formen und schneiden zur Herstellung von Bekleidung Textilien oder verwandte Materialien nach Plänen oder Spezifikationen.",ESCO
Leiter eines Einzelhandelsgeschäftes,5221,7.1,58.2,Detailhandel,56000,Sekundär II,http://data.europa.eu/esco/occupation/980c52f3-0054-45b1-a6f1-20ee8a1e8b9e,Leiter eines Bekleidungsgeschäftes/Leiterin eines Bekleidungsgeschäftes,Leiter von Bekleidungsgeschäften/Leiterinnen von Bekleidungsgeschäften sind in Fachgeschäften für die Betriebsabläufe und das Personal zuständig.,ESCO
Medizintechniker im Bereich Labor und Pathologie,3212,7.1,79.4,Gesundheit,68000,Sekundär II,http://data.europa.eu/esco/occupation/4a5b3686-eea4-4ba0-b446-33f7b6a95aed,Pathologieassistent/Pathologieassistentin,"Pathologieassistenten unterstützen Fachärzte in der Pathologie bei postmortalen Untersuchungen, bei der Dokumentation von Proben, Organuntersuchungen und diesbezüglichen Befunden und kümmern sich um eine angemessene Entsorgung unter Aufsicht und nach den Anweisungen des Arztes.",ESCO
"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen",8343,7.1,7.3,Transport,62000,Sekundär II,http://data.europa.eu/esco/occupation/1de948c1-192a-4810-afb7-48548217a912,Baukranführer/Baukranführerin,"Baukranführer bedienen Krane der Basistechnologie während des Herstellungsverfahrens an einer bestimmten Einheit durch Heben und Bewegen von Lasten (Ballen, Containern, Eimern und anderen Vorrichtungen) mit Rohstoffen und anderen Materialien.",ESCO
Raumgestalter und Dekorateure,3432,7.0,64.4,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/73e776fb-4d99-4031-bad4-7716f121155d,Raumgestalter/Raumgestalterin,"Raumgestalter gestalten oder renovieren Innenräume durch bauliche Veränderungen, Ausstattung und Zubehör, Beleuchtung und Farbgestaltung sowie Mobiliar. Sie verbinden eine effiziente und funktionelle Raumnutzung mit ästhetischem Verständnis.",ESCO
Produkttester und -klassierer (ohne Nahrungsmittel und Getränke),7543,6.9,54.4,Landwirtschaft,54000,Sekundär II,http://data.europa.eu/esco/occupation/3027abf6-bc54-4709-8dc1-4f20b772ac70,Holzwerkstoffplattenklassierer/Holzwerkstoffplattenklassiererin,"Holzwerkstoffplattenklassierer kontrollieren fertige Holzwerkstoffe auf Qualitätsprobleme, z. B. unvollständiges Verkleben, Verformung oder Beschädigungen. Sie prüfen auch die Belastbarkeit des Holzes. Klassierer sortieren entsprechend den Leitlinien die Produkte nach Qualität.",ESCO
Fachkräfte in Personalschulung und -entwicklung,2424,6.9,45.1,Finanzen,115000,Tertiär,http://data.europa.eu/esco/occupation/d9612966-e295-4d81-ba2b-9f36bad0b392,Business Coach,"Business Coaches leiten Angestellte eines Unternehmens oder einer anderen Einrichtung dabei an, ihre persönliche Effektivität zu erhöhen und ihre Arbeitszufriedenheit zu steigern. Sie fördern die berufliche Laufbahn ihrer Klienten innerhalb des Unternehmens. Zu diesem Zweck leiten sie die von ihnen betreuten Personen dabei an, Herausforderungen mit eigenen Mitteln zu bewältigen. Der Schwerpunkt von Business Coaches liegt nicht auf der allgemeinen Weiterentwicklung, sondern auf der Erfüllung spezifischer Aufgaben und Ziele.",ESCO
"Gipser, Trockenbauer",7123,6.9,,Bau,74000,Sekundär II,http://data.europa.eu/esco/occupation/f4a22809-c00c-4dd0-8b09-c7251f8dcd1c,Stuckateur/Stuckateurin,"Stuckateure verputzen und glätten Wände mit Gips, Zement oder anderen geeigneten Stoffen. Sie mischen Trockenputz mit Wasser und tragen die daraus resultierende Paste auf die Wand auf. Der Verputz wird geglättet und bildet nach der Aushärtung eine feste Wandbeschichtung.",ESCO
Fachkräfte in Sozialverwaltung und -versicherung,3353,6.8,77.5,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/2d32bea0-dccd-4dc5-9ea9-c51c653a46ef,Inkassobeauftragter für Versicherungen/Inkassobeauftragte für Versicherungen,"Inkassobeauftragter für Versicherungen treiben Zahlungen für überfällige Versicherungsrechnungen ein. Es gibt unter ihnen Spezialisten für alle Versicherungsbereiche, z. B. Gesundheit, Leben, Auto, Reisen usw. Sie setzen sich regelmäßig mit Versicherten in Verbindung, um Hilfestellung bei Zahlungen zu leisten oder die Zahlungspläne an die finanzielle Lage der betreffenden Person anzupassen.",ESCO
Bediener von Anlagen und Maschinen für chemische Erzeugnisse,8131,6.7,23.0,Industrie,64000,Sekundär II,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,Kunstfaserhersteller/Kunstfaserherstellerin,Kunstfaserhersteller führen chemische Kunstfaserverarbeitungsverfahren durch.,ESCO
Hilfsarbeiter in Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),9213,6.7,53.0,Dienstleistungen,44000,Keine Ausbildung,http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791,Fachkraft für Nutztierhaltung,"Fachkräfte für Nutztierhaltung bewahren die Gesundheit und das Wohlergehen von Tieren. Sie überwachen die Zucht/Produktion und die tägliche Pflege, z. B. die Fütterung und das Tränken von Tieren.",ESCO
Pädagogik- und Didaktikspezialisten,2351,6.5,66.2,Bildung,108000,Tertiär,http://data.europa.eu/esco/occupation/9a26d76b-b9e3-46ae-ab4b-057a1262138b,Koordinator für Sonderpädagogik/Koordinatorin für Sonderpädagogik,"Koordinatoren für Sonderpädagogik/Koordinatorinnen für Sonderpädagogiküberwachen Programme und Aktivitäten, die Kinder mit einer Vielfalt von Behinderungen pädagogisch fördern. Sie stellen sicher, dass sie die neuesten Entwicklungen in der Sonderpädagogikforschung auf kennen, um diese in die speziellen Prozesse einfließen zu lassen, die erforderlich sind, um das Wachstums- und Lernpotenzial von Schülern und Schülerinnen mit sonderpädagogischem Förderbedarf zu maximieren, und sie beraten den Direktor/die Direktorin für Sonderpädagogik zu diesen Entwicklungen und schlagen neue Programme vor.",ESCO
Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2654,6.5,40.2,Medien,88000,Tertiär,http://data.europa.eu/esco/occupation/3b6bea7d-36f4-44fb-ac73-d1cc8a198dcb,Film- und Fernsehproduzent/Film- und Fernsehproduzentin,"Film- und Fernsehproduzenten überwachen die gesamte Produktion eines Films oder einer Fernsehsendung. Sie wählen aus, welche Drehbücher in Kinofilme oder Fernsehserien umgesetzt werden. Film- und Fernsehproduzenten beschaffen die finanziellen Mittel, die für die Produktion von Filmen oder Fernsehserien erforderlich sind. Ihnen obliegt die endgültige Entscheidung über das gesamte Projekt, von der Entwicklung über die Bearbeitung bis hin zum Vertrieb. Bei großen Produktionen sind Film- und Fernsehproduzenten bisweilen Teil eines Produzententeams und übernehmen in diesem Rahmen bestimmte Aufgaben.",ESCO
Führungskräfte in der Erbringung von Finanz- und Versicherungsdienstleistungen,1346,6.5,23.3,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/3c136897-4e0e-41ef-bb57-d8152323b93a,Führungskraft für Unternehmensdienstleistungen,"Führungskräfte für Unternehmensdienstleistungen sind für die Erbringung professioneller Dienstleistungen an Unternehmen zuständig. Sie organisieren die Erbringung maßgeschneiderter Dienstleistungen und tauschen sich mit den Kunden aus, um die vertraglichen Verpflichtungen beider Parteien zu vereinbaren.",ESCO
Hilfsarbeiter im Gartenbau,9214,6.2,20.5,Dienstleistungen,44000,Keine Ausbildung,http://data.europa.eu/esco/occupation/a10eb17a-3c78-4f7a-a1da-8f31146339d3,Gartenhilfsarbeiter/Gartenhilfsarbeiterin,"Gartenhilfsarbeiter führen einfache Aufgaben beim Anbau und bei der Pflege von Blumen, Bäumen und Sträuchern durch. Diese Arbeiten können sowohl in Parks als auch in Privatgärten erfolgen.",ESCO
Isolierer,7124,6.2,,Bau,74000,Sekundär II,http://data.europa.eu/esco/occupation/b2dab4fb-b7f7-4f57-94b2-9c0f0848564a,insulation worker,"Isoliermonteure installieren eine Reihe von Dämmstoffen, um ein Gebäude oder Materialien vor Hitze, Kälte oder Lärm aus der Umgebung abzuschirmen.",ESCO
Konferenz- und Veranstaltungsplaner,3332,6.0,64.0,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/be54b8da-bc71-40f0-b150-45c5e0769375,Manager des Veranstaltungsortes/Managerin des Veranstaltungsortes,"Manager des Veranstaltungsortes planen und verwalten die Arbeiten bei Tagungen oder Banketten in einem gastgebenden Veranstaltungsort entsprechend den Bedürfnissen der Kunden. Sie sind für Werbeveranstaltungen, Konferenzen, Seminare, Ausstellungen, Geschäftsveranstaltungen, gesellschaftliche Veranstaltungen und Zusammenkünfte zuständig.",ESCO
Immobilienmakler/in,3334,6.0,38.0,Immobilien,95000,Sekundär II,http://data.europa.eu/esco/occupation/8ec8df02-e9dd-43b7-b416-5846ae0414ab,Immobilienmakler/Immobilienmaklerin,"Immobilienmakler verwalten den Verkauf oder die Vermietung von Wohn- und Gewerbeimmobilien oder Grundstücken im Namen ihrer Kunden. Sie prüfen den Zustand der Immobilie und bewerten ihren Wert, um ihren Kunden den besten Preis anzubieten. Sie führen Verhandlungen, setzen einen Kauf- oder Mietvertrag auf und setzen sich mit Dritten in Verbindung, um bei den Geschäften die erklärten Ziele zu erreichen. Sie führen Recherchen durch, um die Rechtmäßigkeit eines Immobilienverkaufs im Vorfeld zu ermitteln, und stellen sicher, dass ihm keine Rechtsstreitigkeiten oder Beschränkungen entgegenstehen.",ESCO
PR-Spezialist/in,2432,6.0,62.0,Medien,95000,Tertiär,http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134,Public-Relations-Fachkraft,"Public-Relations-Fachkräfte vertreten ein Unternehmen oder eine Organisation gegenüber anderen Interessenträgern und der Öffentlichkeit. Sie nutzen Kommunikationsstrategien, um über die Tätigkeiten ihrer Kunden zu informieren und deren Image zu verbessern.",ESCO
Elektroplaner/in EFZ,3113,6.0,8.0,Bau,85000,Sekundär II,http://data.europa.eu/esco/occupation/9aa2a36f-296e-45fe-9798-b7839e0ed389,Elektrotechniker/Elektrotechnikerin,"Elektrotechniker finden gemeinsam mit Elektroingenieuren Lösungen auf dem Gebiet der Elektrotechnik. Sie führen technische Aufgaben aus und wirken an der Konzipierung, der Erprobung, der Herstellung und dem Betrieb von elektrischen Geräten und Einrichtungen mit.",ESCO
